primary_category,paper_count
cs.AI,352
cs.AR,40
cs.CC,22
cs.CE,37
cs.CG,20
cs.CL,327
cs.CR,205
cs.CV,779
cs.CY,56
cs.DB,29
cs.DC,65
cs.DL,14
cs.DM,12
cs.DS,93
cs.ET,11
cs.FL,6
cs.GR,16
cs.GT,34
cs.HC,83
cs.IR,67
cs.IT,76
cs.LG,681
cs.LO,37
cs.MA,23
cs.MM,6
cs.MS,5
cs.NE,23
cs.NI,31
cs.PF,7
cs.PL,25
cs.RO,335
cs.SC,5
cs.SD,64
cs.SE,203
cs.SI,16
eess.AS,49
eess.IV,47
eess.SP,121
eess.SY,132
gr-qc,144
hep-ex,31
hep-lat,14
hep-ph,178
hep-th,157
math-ph,40
math.AC,29
math.AG,84
math.AP,182
math.AT,17
math.CA,28
math.CO,232
math.CT,14
math.CV,29
math.DG,69
math.DS,74
math.FA,67
math.GM,13
math.GN,7
math.GR,32
math.GT,42
math.HO,7
math.LO,21
math.MG,16
math.NA,142
math.NT,124
math.OA,13
math.OC,143
math.PR,90
math.QA,17
math.RA,20
math.RT,39
math.SG,15
math.SP,7
math.ST,57
nlin.AO,8
nlin.CD,7
nlin.PS,6
nlin.SI,7
nucl-ex,15
nucl-th,54
physics.acc-ph,11
physics.ao-ph,14
physics.app-ph,17
physics.atom-ph,25
physics.bio-ph,18
physics.chem-ph,48
physics.class-ph,8
physics.comp-ph,25
physics.ed-ph,8
physics.flu-dyn,71
physics.geo-ph,11
physics.hist-ph,5
physics.ins-det,22
physics.med-ph,16
physics.optics,119
physics.plasm-ph,47
physics.soc-ph,32
q-bio.BM,5
q-bio.NC,18
q-bio.PE,12
q-bio.QM,16
q-fin.CP,6
q-fin.GN,5
q-fin.MF,7
q-fin.PM,5
q-fin.ST,5
q-fin.TR,9
quant-ph,468
stat.AP,27
stat.CO,8
stat.ME,114
stat.ML,61
